id,userplace_id,begin_time,end_time,client_id,provenance,complete,type,name,primary category id,category name,begin_time_PST,
f514229b-cea4-42b5-ba46-2276010ce75f,115f4862-f3cc-40f8-bbec-a8797c541b55,4/13/13 12:51 AM,2013-04-13 14:42:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Robot Rookery,165,Residential Complex,4/12/13 5:51 PM,4/13/13 7:51 AM
5d8bdc81-f693-4ceb-9f7b-16bef4fe4e78,115f4862-f3cc-40f8-bbec-a8797c541b55,4/13/13 1:10 AM,2013-04-13 01:10:09.667+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Robot Rookery,165,Residential Complex,4/12/13 6:10 PM,4/13/13 8:10 AM
b9c49bc4-b97b-4527-a3b2-cd122895bbe4,115f4862-f3cc-40f8-bbec-a8797c541b55,13:51.4,2013-04-13 02:13:51.426+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Robot Rookery,165,Residential Complex,4/12/13 7:13 PM,4/13/13 9:13 AM
f79bcbf1-f8c3-4433-b951-1f84055039ac,,4/13/13 14:42,2013-04-13 15:45:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,UserEdit,t,travel,,,,4/13/13 7:42 AM,4/13/13 9:42 PM
c6134226-5ecf-45dd-b32b-7f5dba08656f,,4/13/13 15:45,2013-04-13 15:54:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,travel,,,,4/13/13 8:45 AM,4/13/13 10:45 PM
2284a7b2-c458-4522-b4dd-1d1627675ebb,4fca31ce-591c-4761-97ec-5474d8e26fa9,4/13/13 15:54,2013-04-13 17:49:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Hogans Corner Laundromat,167,Building,4/13/13 8:54 AM,4/13/13 10:54 PM
ab09063c-a9ca-4e33-97cc-d4e8db942e44,4fca31ce-591c-4761-97ec-5474d8e26fa9,2013-04-13 16:20:35.365+00,2013-04-13 16:20:35.365+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Hogans Corner Laundromat,167,Building,,
d3bbc249-a35b-469e-b6cf-455d2e31fc56,4fca31ce-591c-4761-97ec-5474d8e26fa9,2013-04-13 16:41:01.414+00,2013-04-13 16:41:01.414+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Hogans Corner Laundromat,167,Building,,
f6fc2b92-46b3-4ee4-b94c-4a0d24f3781b,4fca31ce-591c-4761-97ec-5474d8e26fa9,2013-04-13 16:58:28.134+00,2013-04-13 16:58:28.134+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Hogans Corner Laundromat,167,Building,,
5673218c-a37f-4392-976f-504d60705af6,4fca31ce-591c-4761-97ec-5474d8e26fa9,2013-04-13 17:08:51.402+00,2013-04-13 17:08:51.402+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Hogans Corner Laundromat,167,Building,,
457bfafd-83a8-477e-aa65-c66ed7d662d0,4fca31ce-591c-4761-97ec-5474d8e26fa9,2013-04-13 17:40:08.05+00,2013-04-13 17:40:08.05+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Hogans Corner Laundromat,167,Building,,
0ed2c185-33bc-45a1-858d-13be40f911b5,,2013-04-13 17:49:00+00,2013-04-13 17:59:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,UserEdit,t,travel,,,,,
66550f43-b1fe-4e63-84bc-0339f91412d8,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-13 17:59:00+00,2013-04-14 00:25:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Robot Rookery,165,Residential Complex,,
aa046663-34c1-40d7-9894-026be22b0f38,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-13 18:57:35.047+00,2013-04-13 18:57:35.047+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Robot Rookery,165,Residential Complex,,
d0d93b4b-b197-4d81-a183-3d4fb3cb3450,,2013-04-14 00:25:00+00,2013-04-14 00:35:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,UserEdit,t,travel,,,,,
cef40bb5-8761-4728-beca-0ef4ad2fdf64,02d8d600-828b-493c-9095-df038e41f9bb,2013-04-14 00:35:00+00,2013-04-14 01:10:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Whole Foods Market,406,Grocery Store,,
08f155da-4b74-4e60-86b6-f967d2d4c942,02d8d600-828b-493c-9095-df038e41f9bb,2013-04-14 00:40:00+00,2013-04-14 01:05:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Whole Foods Market,406,Grocery Store,,
f3380710-3c11-407a-a7d1-65399a8ebd2a,,2013-04-14 01:10:00+00,2013-04-14 01:19:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,travel,,,,,
3716dde3-c0a3-4b05-84e3-eab1fe8244ee,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-14 01:19:00+00,2013-04-14 13:53:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Robot Rookery,165,Residential Complex,,
8580e0ba-4bbb-41f8-8156-a5bd61325b50,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-14 02:29:11.577+00,2013-04-14 02:29:11.577+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Robot Rookery,165,Residential Complex,,
51f2056d-a894-4018-a913-d7f73713250e,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-14 03:53:10.873+00,2013-04-14 03:53:10.873+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Robot Rookery,165,Residential Complex,,
7ceb3d35-94b1-4bd1-adfd-727b89d05d6b,,2013-04-14 13:53:00+00,2013-04-14 14:40:09.979+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,travel,,,,,
8c68c80a-41ae-4885-ac4f-2969137490d6,c3ee6035-0976-46b9-8350-b44bc7a0d9ec,2013-04-14 14:40:09.979+00,2013-04-14 14:52:52.77+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Forza Coffee Co.,69,Café,,
d8fc5495-da66-4d6e-9290-4ce60c877f8a,c3ee6035-0976-46b9-8350-b44bc7a0d9ec,2013-04-14 14:48:58.978+00,2013-04-14 14:48:58.978+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Forza Coffee Co.,69,Café,,
23b2a33b-2b5d-49ae-886a-9d5a16364173,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-14 14:52:52.77+00,2013-04-14 15:51:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Robot Rookery,165,Residential Complex,,
94c375c7-3f7b-4958-9cda-6ca3d2a51493,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-14 14:54:40.735+00,2013-04-14 14:54:40.735+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Robot Rookery,165,Residential Complex,,
6abbb09e-0f05-4427-b2d1-d5ac0abc2091,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-14 15:03:59.225+00,2013-04-14 15:03:59.225+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Robot Rookery,165,Residential Complex,,
e69cce72-9a95-4e31-affd-0e39a4834664,,2013-04-14 15:51:00+00,2013-04-14 16:09:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,travel,,,,,
738a767f-6d24-4406-93db-d645782da924,7f7ade67-561a-4648-b8b9-5602e4d91e5f,2013-04-14 16:09:00+00,2013-04-14 16:15:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Tha Spot,14,Comedy Club,,
c64c1182-fef8-451f-b664-9b70e8023234,,2013-04-14 16:15:00+00,2013-04-14 16:33:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,travel,,,,,
f4254839-00ec-49e4-94df-85922b6e0d7c,b59d245d-ecd3-4777-9920-fcd8e3a893fc,2013-04-14 16:33:00+00,2013-04-14 17:46:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Eastlake community church Wedgwood campus,367,Church,,
9d4caa87-e4ae-4466-a87c-f70695305603,,2013-04-14 17:46:00+00,2013-04-14 18:13:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,travel,,,,,
47219a5c-90a1-47a0-9e3b-43f933033d3e,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-14 18:13:00+00,2013-04-14 19:26:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Robot Rookery,165,Residential Complex,,
8b9ad187-c03a-4e1f-9945-ddabb19e5717,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-14 18:30:34.118+00,2013-04-14 18:30:34.118+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Robot Rookery,165,Residential Complex,,
d47e4187-93f9-474d-a10d-705dcfd6020c,,2013-04-14 19:26:00+00,2013-04-14 19:46:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,UserEdit,t,travel,,,,,
88af4c5d-66c5-4365-8292-c759eb12eb6e,5ae34b3e-61fa-4122-b8e0-c89848d766ab,2013-04-14 19:46:00+00,2013-04-14 20:26:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Salmon Bay Soccer Fields,161,Soccer Field,,
1cc468a0-d7d9-47dc-b00a-ec5772c33252,5ae34b3e-61fa-4122-b8e0-c89848d766ab,2013-04-14 19:51:00+00,2013-04-14 20:21:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Salmon Bay Soccer Fields,161,Soccer Field,,
122a3bfa-ccf9-44e3-a474-720745f59e2c,,2013-04-14 20:26:00+00,2013-04-14 20:52:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,UserEdit,t,travel,,,,,
2ec000b8-e497-4a27-ad3d-27beb32c58e7,ec8a889c-6ce8-4df2-bd19-ec8f4e5ff556,2013-04-14 20:52:00+00,2013-04-14 22:14:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Soccer Field #2,7,Shop & Service,,
3e4b4bfb-e9cc-499a-a4d6-4c340ef615d5,ec8a889c-6ce8-4df2-bd19-ec8f4e5ff556,2013-04-14 20:57:00+00,2013-04-14 22:09:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Soccer Field #2,7,Shop & Service,,
df62a698-da56-4748-989a-8b416a0cca2e,,2013-04-14 22:14:00+00,2013-04-14 22:27:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,UserEdit,t,travel,,,,,
f5db288f-6e85-477c-83a5-852417e89c7f,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-14 22:27:00+00,2013-04-15 14:52:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Robot Rookery,165,Residential Complex,,
d3d72c0a-06a1-438f-8044-ac3b1440a76c,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-14 22:32:00+00,2013-04-15 14:47:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Robot Rookery,165,Residential Complex,,
984a9868-445d-46f3-a02b-fc20355825f9,,2013-04-15 14:52:00+00,2013-04-15 15:12:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,UserEdit,t,travel,,,,,
5ac596a2-6a0d-40c1-bcc4-d9c6d10ccb1a,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-15 15:12:00+00,2013-04-15 22:14:57.986+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,A.R.O.,366,Tech Startup,,
8e6781d5-e8cc-4576-bf42-f8e89841cff9,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-15 19:38:22.964+00,2013-04-15 19:38:22.964+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,A.R.O.,366,Tech Startup,,
b4954900-3b8f-4a43-b4ca-3a9cd2b536e3,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-15 19:51:42.279+00,2013-04-15 19:51:42.279+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,A.R.O.,366,Tech Startup,,
427933de-6180-40e5-9b32-fdf45209380c,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-15 19:58:00.504+00,2013-04-15 19:58:00.504+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,A.R.O.,366,Tech Startup,,
de68e364-4c2e-4d94-81d6-bf7cf70c6a73,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-15 20:04:54.416+00,2013-04-15 20:04:54.416+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,A.R.O.,366,Tech Startup,,
ceeb7636-924b-452a-b65c-bf0dc973b2c5,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-15 20:17:08.221+00,2013-04-15 20:17:08.221+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,A.R.O.,366,Tech Startup,,
8bd54cf0-0047-499e-81bf-440e6c5fec8b,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-15 21:49:43.017+00,2013-04-15 21:49:43.017+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,A.R.O.,366,Tech Startup,,
fea1c305-ea36-45d8-9558-cadaf40d8efc,,2013-04-15 22:14:57.986+00,2013-04-15 22:50:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,private,,,,,
d542f958-b854-4df7-93bd-315ba75ada6a,41771097-4c53-48ea-969e-b9d1bb59fb3b,2013-04-15 22:25:46.55+00,2013-04-15 22:25:46.55+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Zeitgeist Kunst & Kaffee,69,Café,,
88bd484d-eb6a-49c3-9484-a4f9388562b0,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-15 22:50:00+00,2013-04-16 01:07:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,A.R.O.,366,Tech Startup,,
b697e04e-a42a-4269-9232-bb4145f24c93,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-15 22:50:34.55+00,2013-04-15 22:50:34.55+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,A.R.O.,366,Tech Startup,,
1ca70a89-8e7f-4879-b4c9-aa704add6138,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-15 23:41:31.325+00,2013-04-15 23:41:31.325+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,A.R.O.,366,Tech Startup,,
6c8d8fd5-50ab-4e9a-908e-67f9ef3c9979,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-16 00:24:08.437+00,2013-04-16 00:24:08.437+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,A.R.O.,366,Tech Startup,,
6e645d97-ec3a-4a37-ab61-8512168bae55,,2013-04-16 01:07:00+00,2013-04-16 01:30:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,UserEdit,t,travel,,,,,
5413f171-23b5-4886-8b6c-37af3730f8d9,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-16 01:30:00+00,2013-04-16 15:40:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Robot Rookery,165,Residential Complex,,
a5dabe69-0ec9-4f54-a2f6-faa918420888,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-16 02:20:46.886+00,2013-04-16 02:20:46.886+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Robot Rookery,165,Residential Complex,,
83db69ce-4791-438b-8b06-1be65e0f1692,115f4862-f3cc-40f8-bbec-a8797c541b55,2013-04-16 14:59:19.567+00,2013-04-16 14:59:19.567+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Robot Rookery,165,Residential Complex,,
6cdb5899-0adf-47e5-a62c-156a8c7659a4,7cb1f845-9122-4e1c-9474-4ea33acf86a5,2013-04-16 15:40:00+00,2013-04-16 16:44:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,Irwin's Neighborhood Bakery & Cafe,69,Café,,
56c2824d-c220-42f5-a0e3-60ad58ac079c,7cb1f845-9122-4e1c-9474-4ea33acf86a5,2013-04-16 15:45:00+00,2013-04-16 16:39:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,aro,t,checkin,Irwin's Neighborhood Bakery & Cafe,69,Café,,
4d97eb3c-6ce1-4893-920f-33abbb471514,,2013-04-16 16:44:00+00,2013-04-16 18:05:19.96+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,UserEdit,t,travel,,,,,
b3146e45-a8f7-42bc-a8f4-5489563b6430,25771904-f962-421a-8842-485e1c7d3e7a,2013-04-16 18:05:19.96+00,2013-04-16 19:41:00+00,902393D8-4E37-4D0B-9DFA-C61A67A07856-18375-00001B4BFE91F1A0:624145141,DistanceTravelledSlicer,t,stay,A.R.O.,366,Tech Startup,,
